epoch,accuracy,loss,val_accuracy,val_loss
0,0.9037762880325317,0.3966306149959564,0.9521362781524658,0.1768968105316162
1,0.9665250778198242,0.13432247936725616,0.950573742389679,0.19921796023845673
2,0.9738978743553162,0.10238758474588394,0.9683117270469666,0.11741971969604492
3,0.9778326749801636,0.08509623259305954,0.976236879825592,0.09599947184324265
4,0.9803217649459839,0.074197918176651,0.9792245030403137,0.08627209067344666
5,0.9822337627410889,0.06653140485286713,0.9801369905471802,0.07803452014923096
6,0.983852207660675,0.05951780080795288,0.9809245467185974,0.0879865437746048
7,0.985052227973938,0.05496709793806076,0.9802120327949524,0.07030301541090012
8,0.9862011075019836,0.05019722506403923,0.9528613090515137,0.16385699808597565
9,0.9869304895401001,0.046542759984731674,0.9835621118545532,0.06639126688241959
10,0.9877543449401855,0.04339691996574402,0.9830120801925659,0.07871529459953308
11,0.9884706735610962,0.04009052366018295,0.9806745052337646,0.0918632373213768
12,0.9891130924224854,0.037566110491752625,0.9842621088027954,0.06365834921598434
13,0.9895858764648438,0.03565874695777893,0.984199583530426,0.06676658987998962
14,0.989989161491394,0.033679671585559845,0.9842996001243591,0.06743592023849487
15,0.9905956983566284,0.03168773651123047,0.9835370779037476,0.07715605944395065
16,0.9909934997558594,0.03013305552303791,0.9830746054649353,0.07598909735679626
17,0.993693470954895,0.020111124962568283,0.9855746626853943,0.07171343266963959
18,0.9945912957191467,0.016617493703961372,0.9759994149208069,0.09968367218971252
19,0.9949369430541992,0.01534994225949049,0.9864996671676636,0.0702250599861145
20,0.9953989386558533,0.013684664852917194,0.985862135887146,0.08139606565237045
21,0.9966630339622498,0.00960793998092413,0.9867621660232544,0.0780019611120224
22,0.9970163106918335,0.008170715533196926,0.986699640750885,0.09142891317605972
23,0.9973413348197937,0.007058675866574049,0.9865996837615967,0.08783585578203201
24,0.9975728392601013,0.006380666512995958,0.9840871095657349,0.12908968329429626
25,0.9981152415275574,0.004848519340157509,0.9871121644973755,0.09403356164693832
26,0.9983315467834473,0.004121525678783655,0.9867746829986572,0.10203804075717926
27,0.9984250068664551,0.0038927721325308084,0.9867246747016907,0.1036902666091919
28,0.9984619617462158,0.003640149487182498,0.986562192440033,0.11120010912418365
29,0.9987336993217468,0.002915590535849333,0.9870121479034424,0.10851293057203293
30,0.9987978339195251,0.002634721575304866,0.9870871901512146,0.11015060544013977
31,0.998890221118927,0.002513664308935404,0.9869621992111206,0.10932088643312454
32,0.9989739060401917,0.0022981525398790836,0.9869871735572815,0.11308279633522034
33,0.9990500211715698,0.002082871040329337,0.9870746731758118,0.11258257180452347
34,0.9991108775138855,0.001975495368242264,0.9870746731758118,0.11584929376840591
35,0.9991021752357483,0.0019397673895582557,0.9870246648788452,0.11882580816745758
36,0.9991652369499207,0.0018363754497841,0.987162172794342,0.11611662060022354
37,0.9991999864578247,0.0016766136977821589,0.9870621562004089,0.11695948988199234
38,0.9992021918296814,0.0016992382006719708,0.9873496890068054,0.11705096065998077
39,0.9991934895515442,0.0016919277841225266,0.9870121479034424,0.12114306539297104
