epoch,accuracy,loss,val_accuracy,val_loss
0,0.7141048312187195,1.1601111888885498,0.8676167130470276,0.5000584125518799
1,0.9367992281913757,0.2654147744178772,0.9335583448410034,0.27089977264404297
2,0.9502937197685242,0.2013152539730072,0.9463716745376587,0.21603353321552277
3,0.9579839110374451,0.16716906428337097,0.926120400428772,0.2727995216846466
4,0.9625002145767212,0.14749574661254883,0.9441214799880981,0.2122586965560913
5,0.965652346611023,0.13080090284347534,0.9322457909584045,0.2533867359161377
6,0.9696414470672607,0.11353261768817902,0.9524970054626465,0.19821007549762726
7,0.9723860025405884,0.10184300690889359,0.9579973816871643,0.17093783617019653
8,0.9749131798744202,0.09087148308753967,0.9614976048469543,0.15111133456230164
9,0.9773098826408386,0.08154258877038956,0.9626851677894592,0.14746640622615814
10,0.9782012104988098,0.07638733834028244,0.9627476930618286,0.17654909193515778
11,0.9802663922309875,0.06805964559316635,0.9654353260993958,0.1684114634990692
12,0.9817827343940735,0.06146133691072464,0.9578723907470703,0.2009858638048172
13,0.9830435514450073,0.05677694082260132,0.9658728837966919,0.17157599329948425
14,0.9897119998931885,0.0335150808095932,0.9708106517791748,0.12240392714738846
15,0.9924565553665161,0.02424120157957077,0.9731858372688293,0.142898291349411
16,0.9928913712501526,0.02151804231107235,0.9696856141090393,0.18258412182331085
17,0.9927935004234314,0.021865645423531532,0.9708106517791748,0.1820814311504364
18,0.9940489530563354,0.01764034293591976,0.9709357023239136,0.1481228768825531
19,0.9965271949768066,0.009784521535038948,0.9741233587265015,0.1558527648448944
20,0.9976032972335815,0.0065172514878213406,0.9734358191490173,0.17552977800369263
21,0.9976359009742737,0.0063729798421263695,0.9706856608390808,0.18594029545783997
22,0.997576117515564,0.006222274154424667,0.9720607399940491,0.17445628345012665
23,0.9986739158630371,0.0034718415699899197,0.9736233353614807,0.19130204617977142
24,0.9988315105438232,0.002947308588773012,0.9739358425140381,0.18767352402210236
25,0.9990543723106384,0.0025267056189477444,0.9735608696937561,0.19343538582324982
26,0.9989619851112366,0.0024524249602109194,0.9743108749389648,0.19560648500919342
27,0.9992337226867676,0.001859517302364111,0.9746859073638916,0.19162988662719727
28,0.9993261098861694,0.0017530343029648066,0.9739983677864075,0.19685202836990356
29,0.999434769153595,0.001569206709973514,0.9733108282089233,0.1980854719877243
30,0.9993641376495361,0.001525619300082326,0.9744359254837036,0.2063102275133133
31,0.999559760093689,0.0012071147793903947,0.974748432636261,0.20206211507320404
32,0.9995163083076477,0.001239137607626617,0.974998414516449,0.19844283163547516
33,0.9995978474617004,0.0011022483231499791,0.974873423576355,0.1941206157207489
34,0.9995978474617004,0.0010601859539747238,0.9748108983039856,0.19627045094966888
35,0.9995923638343811,0.0009845660533756018,0.9749359488487244,0.20327384769916534
36,0.9996576309204102,0.0009119715541601181,0.9744983911514282,0.20235109329223633
37,0.9996576309204102,0.0009802994318306446,0.9749359488487244,0.203413188457489
38,0.9996848106384277,0.0008220988675020635,0.9751234650611877,0.2030639946460724
39,0.9997228384017944,0.0007452486315742135,0.9749359488487244,0.2054736614227295
