epoch,accuracy,loss,val_accuracy,val_loss
0,0.370095819234848,2.5271284580230713,0.7712357044219971,0.860527753829956
1,0.927598237991333,0.3326372802257538,0.9378710985183716,0.26194465160369873
2,0.9516252875328064,0.20791198313236237,0.9444340467453003,0.23459362983703613
3,0.9595926403999329,0.16951830685138702,0.9580599069595337,0.17718710005283356
4,0.9649240970611572,0.14505648612976074,0.9501218795776367,0.19914981722831726
5,0.9687066674232483,0.1258045881986618,0.9571848511695862,0.1869947910308838
6,0.9718588590621948,0.11158594489097595,0.9609975814819336,0.15856774151325226
7,0.9749349355697632,0.0974002256989479,0.9648727774620056,0.13869941234588623
8,0.9768370985984802,0.08752956241369247,0.9613726139068604,0.1590610146522522
9,0.9793479442596436,0.07831200212240219,0.9549346566200256,0.16946707665920258
10,0.9808859825134277,0.06901238113641739,0.9663103818893433,0.1482171267271042
11,0.9834457635879517,0.05768892168998718,0.9620601534843445,0.19028857350349426
12,0.9900054931640625,0.03379303216934204,0.9723107814788818,0.12938910722732544
13,0.9924347996711731,0.024841900914907455,0.9723107814788818,0.1345803290605545
14,0.9932228922843933,0.020972803235054016,0.9699981212615967,0.1706744134426117
15,0.9942500591278076,0.017667420208454132,0.9723732471466064,0.142939493060112
16,0.9935652613639832,0.018835507333278656,0.9721232652664185,0.14852942526340485
17,0.9973206520080566,0.008049944415688515,0.9738733768463135,0.14833468198776245
18,0.998222827911377,0.0052066766656935215,0.9724982976913452,0.15522664785385132
19,0.998516321182251,0.0037885147612541914,0.9736233353614807,0.160597562789917
20,0.9985054135322571,0.003787302179262042,0.9724357724189758,0.16681547462940216
21,0.9990869760513306,0.0023142057470977306,0.97312331199646,0.1708863526582718
22,0.9991902112960815,0.0017345503438264132,0.9736858606338501,0.1746854931116104
23,0.9993913173675537,0.0014344663359224796,0.972998321056366,0.17089562118053436
24,0.9993587136268616,0.0014353771694004536,0.97312331199646,0.18328236043453217
25,0.9994456768035889,0.0011516649974510074,0.9738733768463135,0.18205569684505463
26,0.999603271484375,0.0008836500928737223,0.9739358425140381,0.18538418412208557
27,0.9996521472930908,0.0007816464640200138,0.9738108515739441,0.18195578455924988
28,0.9996358752250671,0.0007646984304301441,0.9741858839988708,0.18172404170036316
29,0.999728262424469,0.0005879972595721483,0.9743108749389648,0.18288978934288025
30,0.9998152256011963,0.0005365049000829458,0.9743734002113342,0.18615753948688507
31,0.9998206496238708,0.000512785860337317,0.9746859073638916,0.18498565256595612
32,0.9998206496238708,0.0004399728204589337,0.9741858839988708,0.185466468334198
33,0.9998152256011963,0.0003914145927410573,0.9750609397888184,0.18673141300678253
34,0.99983149766922,0.00040913131670095026,0.9750609397888184,0.19033576548099518
35,0.9998858571052551,0.00035075758933089674,0.9745609164237976,0.18990887701511383
36,0.9998804330825806,0.00031982880318537354,0.9744983911514282,0.1911351978778839
37,0.9998858571052551,0.00032489304430782795,0.974623441696167,0.19184738397598267
38,0.9998858571052551,0.00031683078850619495,0.9743734002113342,0.19298672676086426
39,0.9999021887779236,0.00029564517899416387,0.9748108983039856,0.19117096066474915
